categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,Titulo_proyecto,año
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,"Taller Exploradores de los ODS - JACBC,",2025
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Desarrollos web,"PLATAFORMA DEL CONSULTORIO EMPRESARIAL EN LOGÍSTICA DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,",2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Desarrollos web,"Aplicación web para la RED DE PRODUCTIVIDAD - REDPROD,",2022
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Artículo,Promotion of Sustainable Development Strategies: A Systematic Implementation Analysis in Organizations and Higher Education Institutions,2025
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Artículo,Un Marco de Trabajo para Evaluar y Reportar la Sostenibilidad en Instituciones de Educación Superior,2025
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Artículo,EVALUATING AND REPORTING SUSTAINABILITY IN HIGHER EDUCATION INSTITUTIONS: IDENTIFICATION OF FACTORS AND INDICATORS,2025
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Capítulos de libro,METODOLOGÍA ACTIVA: APRENDIZAJE BASADO EN PROBLEMAS,2022
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Capítulos de libro,Camino hacia una universidad sostenible en Latinoamérica,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Capítulos de libro,CAMINO HACIA UNA UNIVERSIDAD SOSTENIBLE,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Capítulos de libro,Example of a Logical Framework for the development of a productive and sustainable project in the Department of Antioquia - Colombia,2025
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Capítulos de libro,Optimización de la Productividad en Granola mediante Ingeniería de Métodos,2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Capítulos de libro,Gestión Basada en Procesos para la Mejora Continua en Educación y Sostenibilidad,2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Innovaciones generadas de producción empresarial - Organizacional,GESTIÓN BASADA EN PROCESOS DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA UNAC - PROPUESTA,2021
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Software,PLATAFORMA PARA LA GESTIÓN DE LA INSCRIPCIÓN Y MATRÍCULA DE LOS ESTUDIANTES DEL CENTRO DE IDIOMAS DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,2023
